id, 	item_id,	lot, 		expiration_date,	description,		deadline_date,			cost,		cost_unit
1,		1,			A201601,	2020-02-05,			,					2019-02-05,				38871,		CNY
2,		2,			z16011,		2023-12-05,			,					2022-12-05,				27750,		CNY
3,		3,			140501,		2024-03-05,			,					2023-03-05,				4528,		CNY
4,		4,			a021,		2017-11-05,			,					2017-07-05,				12090,		CNY
5,		5,			a041,		2020-03-05,			,					2019-03-05,				7397,		CNY
6,		6,			a041,		2021-03-05,			,					2020-03-05,				10689,		CNY
7,		7,			a401,		2020-04-05,			,					2019-04-05,				4602,		CNY
8,		8,			a501,		2024-03-05,			,					2023-03-05,				7945,		CNY
9,		9,			a601,		2020-02-05,			,					2019-02-05,				4787,		CNY
10,		10,			a061,		2025-03-05,			,					2024-03-05,				44480,		CNY
11,		11,			a031,		2020-01-05,			,					2019-01-05,				26823,		CNY
12,		12,			ca001,		2018-03-05,			,					2017-06-05,				8410,		CNY
13,		13,			ba001,		2020-03-05,			,					2019-03-05,				23990,		CNY
14,		14,			ah001,		2027-06-05,			,					2026-06-05,				852,		CNY
15,		15,			0623a,		2026-01-05,			,					2025-01-05,				8423,		CNY
16,		16,			a3001,		2017-08-05,			,					2017-02-05,				658,		CNY
17,		17,			a3001,		2020-03-05,			,					2019-03-05,				22000,		CNY
18,		18,			a001,		2020-03-05,			,					2019-03-05,				1410,		CNY
19,		1,			A201612,	2020-05-12,			,					2019-05-12,				41983,		CNY